t_send,seq,bytes
1765685941.118336,1,256
1765685941.119382,2,256
1765685941.119647,3,256
1765685941.120274,4,256
1765685941.125574,5,256
1765685941.125711,6,256
1765685941.125866,7,256
1765685941.125985,8,256
1765685941.130446,9,256
1765685941.132906,10,256
1765685941.136786,11,256
1765685941.137744,12,256
1765685941.137777,13,256
1765685941.138953,14,256
1765685941.139250,15,256
1765685941.140840,16,256
1765685941.142517,17,256
1765685941.144479,18,256
1765685941.147984,19,256
1765685941.148153,20,256
1765685941.150002,21,256
1765685941.150818,22,256
1765685941.158109,23,256
1765685941.158563,24,256
1765685941.158614,25,256
1765685941.159143,26,256
1765685941.163482,27,256
1765685941.165154,28,256
1765685941.165494,29,256
1765685941.169442,30,256
1765685941.169711,31,256
1765685941.169816,32,256
1765685941.173097,33,256
1765685941.173477,34,256
1765685941.174006,35,256
1765685941.175760,36,256
1765685941.177192,37,256
1765685941.178286,38,256
1765685941.178705,39,256
1765685941.179263,40,256
1765685941.182303,41,256
1765685941.186167,42,256
1765685941.188529,43,256
1765685941.188954,44,256
1765685941.190358,45,256
1765685941.190831,46,256
1765685941.194123,47,256
1765685941.194901,48,256
1765685941.195414,49,256
1765685941.195936,50,256
1765685941.195956,51,256
1765685941.196244,52,256
1765685941.197768,53,256
1765685941.200640,54,256
1765685941.202252,55,256
1765685941.202796,56,256
1765685941.202949,57,256
1765685941.205143,58,256
1765685941.206314,59,256
1765685941.207571,60,256
1765685941.207592,61,256
1765685941.207736,62,256
1765685941.211263,63,256
1765685941.211551,64,256
1765685941.213337,65,256
1765685941.213556,66,256
1765685941.216641,67,256
1765685941.218406,68,256
1765685941.218538,69,256
1765685941.219184,70,256
1765685941.221303,71,256
1765685941.221944,72,256
1765685941.225062,73,256
1765685941.227578,74,256
1765685941.232891,75,256
1765685941.236077,76,256
1765685941.236182,77,256
1765685941.236467,78,256
1765685941.238688,79,256
1765685941.239720,80,256
1765685941.244893,81,256
1765685941.246379,82,256
1765685941.249784,83,256
1765685941.249866,84,256
1765685941.256464,85,256
1765685941.257404,86,256
1765685941.260125,87,256
1765685941.260972,88,256
1765685941.263166,89,256
1765685941.264958,90,256
1765685941.267184,91,256
1765685941.267416,92,256
1765685941.267432,93,256
1765685941.268364,94,256
1765685941.270225,95,256
1765685941.274559,96,256
1765685941.276484,97,256
1765685941.277091,98,256
1765685941.278163,99,256
1765685941.282597,100,256
1765685941.283701,101,256
1765685941.284907,102,256
1765685941.286438,103,256
1765685941.294508,104,256
1765685941.296000,105,256
1765685941.297347,106,256
1765685941.297787,107,256
1765685941.299277,108,256
1765685941.302281,109,256
1765685941.305006,110,256
1765685941.309381,111,256
1765685941.309488,112,256
1765685941.311877,113,256
1765685941.315702,114,256
1765685941.319914,115,256
1765685941.323609,116,256
1765685941.327751,117,256
1765685941.328913,118,256
1765685941.332688,119,256
1765685941.333455,120,256
1765685941.334730,121,256
1765685941.334868,122,256
1765685941.334907,123,256
1765685941.335313,124,256
1765685941.341158,125,256
1765685941.344355,126,256
1765685941.347991,127,256
1765685941.349206,128,256
1765685941.349499,129,256
1765685941.350374,130,256
1765685941.351185,131,256
1765685941.354470,132,256
1765685941.356462,133,256
1765685941.359728,134,256
1765685941.363228,135,256
1765685941.363594,136,256
1765685941.366710,137,256
1765685941.367974,138,256
